Review Time,ASIN,Overall,Summary,Reviewer ID,Review Text
2013-02-18,B001BUPF62,5.0,The Complete Wizard of Oz Collection,A2L68JR6FK0N3T,"I enjoyed reading this complete series of Wizard of OZ. Some books I had read before, but this is the first time I am able to read a complete set of books in order. Some books are new to me. I am currently reading this complete set."
2013-08-10,B001V9K7WU,2.0,Wow... 2 out of 5 stars,A36TJGWT8N9G8V,"David, what happened to you?  The first book was almost a home run.  The second sounds like you had to rush it out the door and ran out of steam?  Everything towards the end was rushed.  The whole story and plot went no where until the last maybe 1/5 of the book, and even then it was rushed.  And just like that... it ends?Wow... maybe drop the price for people that want to read it as fans of the first book, but I don't feel there's much justice with this book.2 out of 5 stars, because it sounds like a sweat shop ghost written book."
2014-01-21,B001VNCPJY,5.0,Surprisingly good...,A1ZVKDV3ILNS47,"The synopsis for this book is just enough to pique your interest.  The storyline is easy to follow, the characters are like old friends.  But enough is left unsaid to allow you to speculate and build more of the story on your own outside of the book."
2012-04-28,B002E7ARKK,2.0,Much too rushed,AKUTRELUQNV42,"This story was a great idea. I started it and was interested in how the author would work out the communication between a werewolf and a deaf human. I didn't get much out of it, to be honest. I got into it, was enjoying myself very much reading, and then the main characters met (a ""helpless"" woman meeting two huge strangers in the middle of nowhere at night) and they got cuddly that very first night. Really? And the very next morning, they reveal that not only are they werewolves, she is one too! And she thinks it's really cool. Okay, fine, I can admit that if someone told me I was a werewolf, I'd be ecstatic.But then they can't have sex. Then they HAVE to have sex. Then they're in mortal danger, and in a blink all of a sudden the helpless deaf former-human is ordering around a pack hell bent on tearing them apart. What? And all this in how many words? This could have been stretched out and developed into an amazing full-length novel. It just seems all too neat in the end. Everything that was such a huge obstacle just magically turned out to be nothing but a speed bump and the heroine just wakes up one day, her world turned upside down and she's all peachy, going along with the program like it's the most natural thing. Yeah, I don't think so.Oh and the deaf thing? Wouldn't you know it? They can speak telepathically! Isn't that convenient?"
2011-11-17,B002FK3U00,5.0,"Another Ravenous, Zealous, Tale from the Astounding Lorelei James!!",A1LEF4345ASIPD,"Willow Gregory woke up in Blake West's bed with absolutely no recollection of what transpired the night before. Especially the part of the night where she miraculously  threw off her clothes, since they're hanging from the ceiling fan. She's harboring a nasty hangover, & completely nekkid to boot!Blake West being a complete gentleman, never took advantage of the nekkid ex-beauty queen lounging in his bed.Even though the he swears next time she appears there, she won't be so lucky. Blake will undoubtedly unleash his carnal desires upon her, and won't be able to stop! For those luscious curves, able breast, & squeezable bottom have been beckoning him in.It's going to be ultimately impossible to be within the proximity of her for the duration of the penalty that has been bestowed upon her, for wrecking his best friend's bar. Because there's no doubt in his mind that Willow won't be his. He just needs to strategize his next move.Well it's unfathomable to Willow that she would lose complete and utter control of her anger & drinking ability to destroy something that didn't belong to her. This behavior was uncanny to her. What could have possibly occurred last night, since she must pay her debt to society?Ms. James is the Ultimate ""Spinderella,"" who can spin words into top 10 songs, beautiful & breathtaking memories, and without-a-doubt into  GOLDEN story-lines!No one can write Erotic Western Romances better than LJ, I just can't get enough!Just when I think I've enjoyed this novel more than the one I previously read by her, I'm dying for more! This woman is on FIRE w/her writing! She ALWAYS deserves nothing short of a 10 stars rating!Then Came YouTame Horses Wild HeartsSaddled and Spurred: A Blacktop Cowboys NovelCowgirl Up and Ride (Rough Riders)Branded as Trouble (Rough Riders)Shoulda Been A Cowboy (Rough Riders)Captain's PriceLily Mine: A Historical FantasyBabe in the Woods: a Samhain Beginnings story"
2013-03-10,B002UKOWM0,2.0,Agree with other review,A26OMZXFG7O62L,"I read this book last week but did not leave a review at the time.  I really liked the premise of it and tried hard to like the book.  However, I couldn't keep track of the characters and they seemed to just appear from nowhere.  I felt I had missed a part earlier in the book where they were introduced and their story told.  I actually went back looking for it the first time it happened.  I decided to leave a review now because I just read a couple of other reviews that support my view.  The similarity of character names combined with missing pieces of the story left me tired and disappointed."
2014-07-1,B002WC99GU,4.0,I really liked the interactions between the three characters,A11IS3OQHGZHQY,"I really liked the interactions between the three characters, in some of the m&eacute;nage books I've read sometimes there's a third person who doesn't really fit (almost like an extra in the relationship) but this book didn't make me feel that way. I think Kelly was the perfect third for these guys and it was the dialogue that kept me the most interested. Overall a pretty good read."
2014-03-11,B002XOTPYI,4.0,If only....,A2609G2X4GKYRQ,"Lost and found love. WOW. I really enjoyed this book, even though it is short. I loved the idea that they both harbored feelings for each other in High School and now they can act on them. It was wonderful to see that they wanted to be a family and that it wasn't about just sex and living a unique lifestyle. I would read more of her work. The samples at the end have me intrigued to see if other works are as entertaining."
2010-04-10,B00318D5VE,4.0,Good but very long,AGFGY4EJ37VS2,"I enjoyed this book and its concept, but I did not like the length and some of the duller parts could have been omitted. Over all a great idea, and great characters. I especially loved Peregrin and Angelica. Some editing may have eliminated the lengthiness and made it a bit more readable, but a great start to what looks to me to be a great writer's career."
2014-06-30,B0031Y6TKW,5.0,Great story in need of editing,A210C3OP4AAK70,"I think this was a great book, generally well-written, but in need of a good editor. A well-crafted story that kept me coming back for more, it bothered me when words were missing or duplicated, or tenses were wrong. I appreciated that it was such a long book for free, so I didn't hesitate to pay for the second volume. As a writer, I appreciate the work, but recommend finding one or two prereaders who can catch the majority of those niggling issues. I look forward to book two."
